1991,1992,1993,1994
-0.96578688,-0.626739744,-0.241603677,7.56
-0.698067032,-0.718852692,-0.792436956,3.1
0.203201027,0.254685882,0.433916792,11.5
-0.448638602,-0.49174663,-0.560424085,4.64
-0.129370212,0.631078446,1.283052334,16.43
-0.535107125,-0.594976658,-0.64880994,3.9
0.307960968,0.410325001,0.512832734,12.59
1.74633158,1.62685118,1.532426712,17.72
0.211515308,0.342034367,0.359735806,9.65
-0.761255568,-0.353577208,-0.421532026,8.4
-0.629889928,-0.464748007,-0.442050171,5.86
-0.470255733,-0.50286371,-0.571472317,4.47
0.258075282,0.195924173,0.130879572,8.95
-0.180918754,-0.210643322,-0.271591735,6.36
0.141675348,0.102223071,0.047228673,8.43
0.063521107,0.033932437,0.085108325,8.86
-0.779546986,-0.803024869,-0.861882985,2.62
-0.626564216,-0.601329275,-0.401013881,7.6
0.773560704,0.678723075,0.60121859,11.86
-0.087798807,-0.048651586,-0.034843907,7.85
-0.910912626,-0.89990228,-0.964473711,1.9
-0.448638602,-0.725205309,-0.781388724,3.25
-0.398752916,-0.421867842,-0.486243099,5
0.642195064,0.537377344,0.411820328,10.63
0.038578264,-0.00577142,-0.082193473,7.61
0.203201027,0.367444836,0.635941605,10.85
-0.453627171,-0.479041396,-0.508339563,5.22
-0.476907158,-0.501275556,-0.535170983,5.01
-0.599958517,-0.615622664,-0.666171448,3.95
-0.701392745,-0.709323766,-0.749822347,3.54
-0.774558417,-0.7776144,-0.835051565,4.37
-0.556724255,-0.574330653,-0.629870114,4.13
-0.27902727,-0.301168116,-0.375760779,5.74
1.41376034,1.175815364,1.186774884,14.57
0.635543639,0.508790567,0.373940675,10.05
0.307960968,0.203864945,0.129301253,8.97
-0.786198411,-0.526686024,-0.44362849,5.33
1.016337709,1.024940708,0.736954011,9.93
0.469258019,0.270567425,0.342374298,11.09
1.407108915,1.290162472,1.30199216,15.34
2.034005702,1.849192779,1.835463932,17.17
-0.86102694,-0.861786577,-0.879244493,2.9
-1.060569684,-1.052365091,-1.098630813,7.54
-0.691415607,-0.715676383,-0.784545362,3.08
-1.043941122,-1.036483548,-0.737195796,4.7
-1.088838239,-1.092068948,-1.147558697,1.33
-0.809478398,-0.812553795,-0.819268376,2.48
-1.063895396,-1.082540022,-1.147558697,0.7
-0.239118721,-0.274169494,-0.33314617,6.35
-0.789524123,-0.812553795,-0.871352898,2.47
0.181583897,0.116516459,0.058276905,8.49
-0.839409809,-0.861786577,-0.931329015,2.15
2.090542813,1.96830435,1.882813497,19.91
1.601663091,1.445801592,1.377751465,17
-0.192558748,-0.245582717,-0.312628025,6.55
-0.570027105,-0.59180035,-0.655123216,3.94
-0.420370047,-0.445690156,-0.505182925,4.9
1.227520446,1.047174868,0.907412447,13.03
-0.420370047,-0.442513847,-0.494134693,5.16
-0.501850001,-0.523509716,-0.557267447,4.86
4.796009849,4.568112907,4.524919254,36.98
-0.608272798,-0.636268669,-0.661436491,4.26
-1.02731256,-1.020602005,0.904255809,13.8
-0.964124024,-0.8887852,-0.906075913,3.48
-0.761255568,-0.162998694,1.361968276,18.7
-0.709707026,-0.861786577,-0.948690522,2.48
0.884972069,0.851831891,0.79377349,12.94
-0.894284064,-0.623563435,-0.689846231,5.8
-0.387112923,-0.418691533,-0.472038229,5.19
-1.06223254,-1.074599251,-1.141245422,0.81
0.640532208,0.618373212,0.629628329,11.98
